bit_index, EMD
12, 1.3421591282383805
2355, 1.3420477644827344
8075, 1.342019562373772
2625, 1.3416222708696925
5180, 1.3414753276704334
930, 1.3413748518380944
992, 1.3411278878736543
8137, 1.341114550912068
341, 1.3411040718423024
3612, 1.3410311928970442
196, 1.340836292743555
1051, 1.3407444668450395
3710, 1.3398989859818122
8185, 1.3398832553402573
4810, 1.3398711784092678
5165, 1.339867502943994
6520, 1.3396298601917909
5000, 1.33954825875481
2412, 1.3395121882701373
8295, 1.3394359078156997
8470, 1.3392751992397982
8700, 1.3392183849271726
850, 1.3390411425797946
1105, 1.3390399785715417
5581, 1.3389133336368313
5560, 1.3387279445111446
4976, 1.3386961249247
2165, 1.3386329816484617
207, 1.3385654410804642
5860, 1.3385108501449177
1732, 1.3383351310795475
4570, 1.337356317753685
1025, 1.337329198689915
4650, 1.3371642537854695
6215, 1.3370634719547265
8121, 1.336975366777774
1990, 1.336940162927534
8776, 1.3366806245710638
8711, 1.3364065750562115
3445, 1.336380025178785
2031, 1.336354842956951
340, 1.3362601120428907
5185, 1.3362242069933328
915, 1.3360122547975075
1825, 1.3359419174897058
8731, 1.3357795439730404
3050, 1.3357230424285822
2285, 1.335641649999943
235, 1.335609269223845
5596, 1.3354932575792062
3851, 1.3354233367050967
6270, 1.33536259514316
973, 1.3351592437122695
4941, 1.3351332075603612
975, 1.3351291900613085
127, 1.3349002376442551
3045, 1.3348494897512801
8752, 1.3347591972091521
441, 1.334650273139537
2565, 1.334500348415502
4306, 1.334422267019591
680, 1.3342013694389134
4480, 1.3340911662187986
1986, 1.3339236458291626
5051, 1.3334915224460935
5005, 1.3331953533283853
5861, 1.3330563474586667
6200, 1.3330468331592495
1767, 1.3328961767647876
1770, 1.3327636365952529
2735, 1.3325135575103517
121, 1.3324643535282572
755, 1.3323345085859861
880, 1.3322192901360543
1995, 1.3322118708844743
5651, 1.3320381981834388
2007, 1.3318707976036146
5655, 1.3318305803487593
331, 1.3316370979802516
3711, 1.3315716401442708
1290, 1.331108653338284
5577, 1.331092359693431
8820, 1.3310401127153964
4351, 1.3309803329182552
5235, 1.3309352903773353
1155, 1.3309246509755979
6575, 1.3308848263488433
5565, 1.330733695567019
8485, 1.3306719794069037
247, 1.330476584185043
5075, 1.330420934807864
8115, 1.3303755774565513
3060, 1.3303606058210087
5852, 1.3303035941162462
2130, 1.3302153131918366
2015, 1.3301601023043457
496, 1.3300952393527603
8096, 1.3300796291357322
1075, 1.3300662798591927
8812, 1.330028444874864
4986, 1.3298041076396512
3560, 1.3297256796081949
2731, 1.329681112214017
995, 1.3294386182349887
8740, 1.3294072577774636
226, 1.3292697755829244
4322, 1.3292054987828075
501, 1.3289731727830356
8091, 1.328893310376932
221, 1.3286648728677473
4292, 1.3285914909242287
5612, 1.3285558021496737
5666, 1.3283031605792819
2730, 1.3281640177044904
1120, 1.328163302887519
3680, 1.3278270346479613
186, 1.3277211661671091
4595, 1.3276991384591295
2, 1.3276169346223927
455, 1.3276101361653052
1725, 1.3274665922013202
895, 1.3272888817858512
5065, 1.3272829977190224
5500, 1.3271595772213192
2081, 1.3270331999575942
470, 1.3269975796243232
67, 1.3268071186476642
4370, 1.3267567816186778
456, 1.3267301940843605
505, 1.326720383276212
5700, 1.3267188870615643
1132, 1.3265034861101834
690, 1.326501194526461
142, 1.3264407416719832
3905, 1.3263755133544195
8310, 1.3263516711962455
63, 1.326336848781134
245, 1.3262789639525048
8501, 1.3262685937439633
1920, 1.3261830613945587
8330, 1.326001943169397
1785, 1.3258619191778669
1746, 1.3254478631148618
182, 1.3253106979913283
3631, 1.3252129503841417
4356, 1.3251469445420319
2685, 1.325031607476944
2381, 1.3248815914078036
2330, 1.3248768588689686
935, 1.324826835234529
8807, 1.3246390887617125
1010, 1.3246370586748053
4625, 1.3246239972474014
4956, 1.324335446118915
1961, 1.3242623544064673
47, 1.3239953245382698
4590, 1.3239379681659935
4282, 1.3237059613976592
4490, 1.323603409443631
720, 1.3235795160089465
2675, 1.323552131547581
8120, 1.3235451423086917
168, 1.3235252288517665
5480, 1.3235160162026267
3505, 1.3234815784912322
3635, 1.3234802752412578
88, 1.323302355129198
4311, 1.3232429354760404
3940, 1.323225884488998
2331, 1.323074227358362
950, 1.3230385208709947
467, 1.3229697405283756
4992, 1.3229119076476992
2387, 1.32288236790028
1855, 1.3228310514266464
3041, 1.3228016666859568
3955, 1.3227695385562426
6260, 1.322612148279767
2110, 1.322557944979665
3070, 1.3225097488164237
2086, 1.322432413689688
5510, 1.3223735499243743
4550, 1.3222329152873493
5561, 1.3221877354605092
8512, 1.3221362191962365
457, 1.3220394711993015
8431, 1.321882311861458
6560, 1.3217243699456271
2395, 1.3217025303266414
695, 1.3216518205339591
980, 1.321452861525158
855, 1.3213912512539432
5265, 1.3213024511542453
3550, 1.321188154832738
3870, 1.3210517850392987
2706, 1.3210022268436497
5685, 1.3209962131161324
5873, 1.320996169223188
460, 1.3208930346374586
1870, 1.3207510927970052
8076, 1.3207270554347141
961, 1.320709978996129
5836, 1.3206163613589461
4352, 1.3206160223364969
3046, 1.3206031580556028
2610, 1.3205911158361494
55, 1.3203844428921505
56, 1.3203844428921505
5616, 1.3203153189661565
287, 1.3200935870260802
4996, 1.3200637730395735
732, 1.3199130812242728
