Hessian ranking (weighted sum * eigenvalue) for model (param idx, rank)
1570, 0.45285944297211245
1442, 0.45285944297211245
1954, 0.45285944297211245
2082, 0.45285944297211245
234, 0.45101349288597703
178, 0.45058163156500086
1079, 0.4495427827714593
494, 0.4491832648636773
408, 0.4438262308613048
410, 0.44258948969945777
89, 0.4417650751565816
1178, 0.44127932260744274
1176, 0.4391526745239389
1203, 0.43832555413246155
1320, 0.43628008622908965
538, 0.4346962997224182
180, 0.4328908767638495
921, 0.42576242733048275
1137, 0.4247055324376561
233, 0.42408165759115946
1268, 0.4237378917168826
1826, 0.42301391571527347
1710, 0.4214915332267992
290, 0.4212294432800263
308, 0.4140255239835824
1688, 0.4134993282514188
1704, 0.4128589380707126
1314, 0.40716979635180905
1261, 0.40299114436493255
1824, 0.3955399780534208
1015, 0.39322910516057163
1214, 0.3858117630079505
418, 0.3832083805464208
1130, 0.38272698246873915
753, 0.38260937412269413
1440, 0.38139269936073106
2080, 0.38139269936073106
1568, 0.38139269936073106
1952, 0.38139269936073106
288, 0.3805023140866979
159, 0.37576368649024516
1439, 0.37559330475050956
1567, 0.37559330475050956
1951, 0.37559330475050956
2079, 0.37559330475050956
1284, 0.3750057211436797
1731, 0.3740149597870186
287, 0.3738621766678989
160, 0.37134202156448737
1312, 0.3699005242669955
1039, 0.36966658948222175
1843, 0.368489590997342
882, 0.36674293398391455
415, 0.36501631687860936
674, 0.3646333608776331
794, 0.36377596866805106
1656, 0.3633920742213377
910, 0.3617752162972465
1698, 0.3613431104749907
755, 0.36055548462900333
1311, 0.3582490774570033
1277, 0.35802941545262
1315, 0.35782576174096903
546, 0.3576164933620021
672, 0.35637840477284044
836, 0.3556565396138467
945, 0.35525977618817706
1779, 0.3527525083627552
324, 0.3521492194267921
1774, 0.3505696738247934
361, 0.3505138475302374
802, 0.3501753568998538
1183, 0.35015351441688836
1823, 0.3475391088286415
1565, 0.34741680181650736
2077, 0.34741680181650736
1949, 0.34741680181650736
1437, 0.34741680181650736
1838, 0.34518688745447434
671, 0.34362575807608664
543, 0.3435003058111761
157, 0.34308541115024127
1141, 0.34302821528399363
1695, 0.34236897755181417
1184, 0.33993652209755965
930, 0.3398655991131818
1696, 0.33258207340259105
925, 0.3310139235122733
1186, 0.3308945483295247
289, 0.32938657034537755
1058, 0.3278339923126623
285, 0.32571595278568566
820, 0.32493222298217006
1194, 0.3242746833129786
1050, 0.32414911839305205
416, 0.32351148943416774
162, 0.32326620526146144
39, 0.3230940488865599
241, 0.3223523411725182
1143, 0.32180949447501916
805, 0.32064082771830726
1197, 0.31917524710297585
544, 0.3163740035961382
1034, 0.31509717472363263
1859, 0.31501362967537716
574, 0.3126140887616202
1821, 0.31105595601911773
13, 0.3099953950913914
373, 0.30997165260487236
922, 0.30781620054040104
1854, 0.3070126993843587
362, 0.30241114915406797
872, 0.300422505766619
298, 0.2992142478178721
42, 0.29816498015861725
2081, 0.29786191744642565
1569, 0.29786191744642565
1441, 0.29786191744642565
1953, 0.29786191744642565
1646, 0.29757681328919716
1071, 0.29588331759441644
169, 0.2952803584339563
806, 0.2920263509149663
360, 0.2902725254170946
1007, 0.2877735551155638
833, 0.28643401025328785
497, 0.2853947032999713
1825, 0.28493998177873436
673, 0.28398938581813127
561, 0.2789759571896866
1654, 0.27825261835823767
1313, 0.27809860948764253
1053, 0.27784951590001583
28, 0.277215565321967
1219, 0.2754849483608268
366, 0.2749223426217213
1647, 0.27436024631606415
1201, 0.27420071387678036
1166, 0.27236381953116506
946, 0.2717521110535017
1040, 0.2711301354574971
1332, 0.2686082125364919
801, 0.265679890406318
500, 0.264642413254478
1185, 0.2631349284783937
1309, 0.2628053052467294
376, 0.2619384105928475
1192, 0.2616674553719349
161, 0.2616215196903795
817, 0.2613540878810454
564, 0.2599330569501035
1066, 0.25758638423576485
1325, 0.255468027513416
297, 0.2531627562857466
314, 0.2507248933252413
388, 0.25021730313892476
1205, 0.24878701445413753
1136, 0.24811935727484524
1002, 0.24573649087687954
1697, 0.2452842356869951
1649, 0.24468639012775384
1072, 0.24450361559865996
1076, 0.24410438415361568
1138, 0.24376828731692513
797, 0.24243792196102731
669, 0.2405340884870384
436, 0.23922330998175312
37, 0.23914818896446377
1210, 0.23765868152258918
1171, 0.23476195730472682
413, 0.2300205645879032
1663, 0.22967697880085325
377, 0.229665756385657
1061, 0.2292349487543106
1693, 0.22548929223557934
866, 0.22455134168558288
917, 0.22097560060501564
1729, 0.2145454126293771
906, 0.2127670727786608
1135, 0.21204235176264774
897, 0.21083565139269922
313, 0.2101316579246486
1057, 0.20990746741881594
4, 0.20979953149799258
405, 0.2088288937229663
430, 0.20706116768997163
374, 0.20667247504752595
553, 0.20389402054388484
245, 0.20149265220970847
1008, 0.2007598955242429
1718, 0.19884780993743334
1650, 0.19856873001117492
1165, 0.19817319315916393
1713, 0.198021361206429
435, 0.19755479054583702
305, 0.19646475211629877
545, 0.19562225742265582
32, 0.1942669298441615
552, 0.19341894204262644
375, 0.192126415335224
889, 0.19092600692238193
557, 0.18814507578645134
865, 0.1878722682595253
417, 0.18777215539012104
394, 0.18727734545245767
933, 0.18721306156658102
1181, 0.1855776852753479
896, 0.1851832632382866
1711, 0.18093470999156125
1062, 0.18072305318492
1714, 0.18040262232534587
577, 0.1802665274735773
424, 0.17972301520057954
1726, 0.1795064432080835
936, 0.17754436521499883
66, 0.17606256427825429
565, 0.17603943211724982
580, 0.17556179781240644
54, 0.17509724869159982
489, 0.17337959945507464
1645, 0.17284436360932887
1, 0.16981821011722786
800, 0.16946314100641757
1221, 0.16795365491270786
390, 0.16782536545360927
799, 0.16774121060734615
929, 0.16686395817669109
1709, 0.1668251309019979
1202, 0.16681081389833707
321, 0.1665786646772176
541, 0.16654763981932774
1213, 0.16637251077918336
425, 0.1651914002286503
759, 0.16454327158862725
1734, 0.16431629380531376
1217, 0.1636814278535894
1200, 0.16319455107441172
369, 0.1625717650167644
1129, 0.1616558305831859
919, 0.16010276728775352
754, 0.1591400039033033
912, 0.1569756770186359
426, 0.15631140928599052
437, 0.15481824298331048
404, 0.15311076119587597
905, 0.1523258633678779
1670, 0.149608233186882
1074, 0.1485796460765414
503, 0.1471927841193974
1160, 0.14527369529241696
1730, 0.14486839219171088
554, 0.1439546220790362
916, 0.14366447307656927
563, 0.1434877445572056
247, 0.142211404745467
1208, 0.14176738172682235
309, 0.14029534965811763
510, 0.13983006852504332
746, 0.13937575700765592
868, 0.13915190858642745
47, 0.13843094707408454
1042, 0.1367483276517305
1218, 0.13613360061935964
439, 0.13608501869020984
1776, 0.1358924345986452
569, 0.1346938132919604
567, 0.1336007257050369
1735, 0.13318839855492115
55, 0.13147473870776594
1667, 0.13119702602853067
818, 0.12921950934105553
902, 0.12794092441617977
501, 0.12731903968960978
927, 0.12722804622899275
606, 0.12439069218089571
904, 0.1230968297313666
913, 0.1214801799505949
1012, 0.12026127428543987
1169, 0.11927973397541791
898, 0.11918469253578223
583, 0.11903693943349936
600, 0.11808138160267845
934, 0.11657273091259412
325, 0.11652273650611278
834, 0.11577223622589372
810, 0.11553517683205428
686, 0.11483381375728641
616, 0.11476466501699178
1199, 0.11457067805167753
990, 0.11446825405801064
1064, 0.11392933764727786
1010, 0.11247268921579234
1840, 0.11199364838103065
1056, 0.11175116096273996
1856, 0.11105861167015973
903, 0.10745690757175907
967, 0.10695648691034876
385, 0.10629760441588587
958, 0.10532758636691142
1193, 0.1052811334375292
856, 0.10510365152731538
568, 0.10377692768815905
573, 0.10361282587837195
1142, 0.10330728556436952
407, 0.10137330657744315
62, 0.10108936782853561
826, 0.10063283708768722
174, 0.10045209107920527
562, 0.10028286840679357
680, 0.10014668582880404
438, 0.09988225724373478
1720, 0.09865580103360116
517, 0.09825227343389997
560, 0.09804147417889908
46, 0.09791547933855327
1717, 0.09648069412651239
964, 0.09618314282852225
999, 0.0959565160155762
381, 0.09576706303050742
1326, 0.09574061961029656
228, 0.0956325345323421
1124, 0.09511990210739896
614, 0.09460471802958637
311, 0.09447827254189178
1769, 0.09438846411649138
1204, 0.09398663286265219
1705, 0.0912108067132067
1216, 0.08993205431033857
1055, 0.08863928483333439
177, 0.0882775897916872
51, 0.08816479581219028
1641, 0.08649062316544587
365, 0.08583284344058484
1721, 0.08564333552203607
378, 0.0851482141733868
1073, 0.08433138863620115
1847, 0.0831818809356264
953, 0.08275441388832405
406, 0.0823590062209405
617, 0.08167433374910615
749, 0.0816605237632757
814, 0.08146102741011418
327, 0.08081111995852552
382, 0.08024899329757318
960, 0.07980707463093495
490, 0.07916579732045648
612, 0.07894495720393024
1725, 0.07859592186741793
1069, 0.07827668778918451
433, 0.07823947328142822
1207, 0.07792777577378729
19, 0.07785337008226634
965, 0.07765049967565574
615, 0.07747307598333464
888, 0.0770796992292162
341, 0.07641505930223502
1706, 0.07640150659426581
488, 0.07624293763365131
605, 0.07613221579231322
1173, 0.07606778781337198
758, 0.07572463223186787
628, 0.07555722729011904
579, 0.0754298528045183
493, 0.07535670074867085
12, 0.07385092003823956
1849, 0.07343845699961093
1168, 0.0734269637032412
1657, 0.07299850756317028
601, 0.07279903751623351
1833, 0.07225477014435455
694, 0.07181219878839329
1661, 0.07175757637696734
330, 0.07003768428694457
914, 0.06998445074714255
1712, 0.06984054400709283
993, 0.06923384626134066
15, 0.06875309842143906
734, 0.0684676812379621
995, 0.06841928103676764
3, 0.06836630228644935
33, 0.0683495957928244
1215, 0.06795219843115774
890, 0.06793092962470837
1044, 0.06786442817247007
513, 0.06784991064341739
1022, 0.06752715783659369
31, 0.06752477042027749
692, 0.06739401232334785
218, 0.06731783473514952
1114, 0.06711361005727667
